SeekSpace® 单细胞空间ATAC转录组：Workflow输入输出与边界条件确认,,,,,,,,,,,,,,,,,,,,
序号,Step ID,步骤名称,文档定位,来源类型,前序依赖,输入/前序产物,输入状态/前置条件（文档已知）,关键试剂/耗材/仪器,关键参数（文档已知）,建议标准输出名（需确认）,输出状态/QC/停止点（文档已知）,需实验人员确认的问题,允许等待/最晚进入下一步,异常与恢复策略,流程属性（人工，全自动，半自动）,实际执行差异/补充,确认状态,需现场观察,填写人,确认日期
32,7-5,表达文库扩增,PDF p56–57,DOC_CONFIRM,7-4,Step7-3 cDNA纯化产物 + N5/N7 index。,表格写cDNA纯化产物≤20 ng、取10 μL；正文写最大投入20 ng：若浓度>2 ng/μL仅取20 ng并用水补到23 μL，若<2 ng/μL直接取10 μL。cycle表却列到31–50 ng，和20 ng最大投入矛盾。,2×PCR Master Mix、N5、N7、Blocker-N、Nuclease-Free Water、PCR仪。,表格体系：Master Mix25 μL+N5 1 μL+N7 1 μL+Blocker-N1.5 μL+cDNA10 μL（≤20 ng）+水11.5 μL=50 μL。PCR：98℃3 min；7–9 cycles×(98℃20 s、54℃30 s、72℃1 min)；72℃5 min；4℃ Hold。cycle表：5–10 ng→9；11–30 ng→8；31–50 ng→7。,50 μL表达文库扩增产物,文档“最大20 ng”与cycle表最高50 ng明显不一致。,必须确认实际最大投入20 ng还是50 ng；若20 ng，11–30/31–50区间如何处理；若50 ng，体系中10 μL/水11.5如何调整；确认浓度=2 ng/μL边界。,PCR结束到纯化最大等待未给。,错误投入量/index/cycle导致的处理需确认。,,,待确认,否,,
33,7-6,表达文库纯化,PDF p57–58,OBSERVATION_REQUIRED,7-5,50 μL表达文库扩增产物。,DNA分选磁珠室温平衡；80%乙醇现配。,DNA分选磁珠、80%乙醇、Nuclease-Free Water、磁力架。,加40 μL磁珠（0.8×），吹打10次或振荡；室温5 min；磁吸去上清；200 μL 80%乙醇30 s洗×2；瞬离去残液；干3–5 min至暗哑不干裂；加31 μL水、室温5 min；磁吸后转移30 μL。,30 μL表达文库,STOPPING POINT：-20℃≤6个月。,确认冻融次数、最终回收下限、短时保存。,-20℃≤6个月。,低回收/残珠/残乙醇/保存超时处理需确认。,,,待确认,是,,
34,7-7,表达文库质控,PDF p58,DOC_CONFIRM,7-6,Step7-6的30 μL表达文库。,Qubit和片段分析仪可用。,Qubit、Agilent 4200 TapeStation或等效设备。,合格：浓度≥5 ng/μL、无大片段污染、主峰300–1000 bp；风险：1≤浓度<5、主峰300–1000且无大片段；或浓度≥5、主峰300–1000但>2000 bp大片段峰高低于目标峰，需再分选至无大片段后风险上机；不合格：浓度<1，或目标范围无目的片段/无主峰，或大片段峰高>目标峰。,表达文库QC结果（PASS/RISK/FAIL）,按浓度、300–1000 bp主峰和>2000 bp大片段污染判定。,确认大片段峰高比值的数值标准、风险审批、再次分选倍率和次数。,-20℃≤6个月；上机前解冻时限需确认。,风险/不合格再分选/重PCR/终止规则需确认。,,,待确认,是,,
35,8-1,实验前准备,PDF p59–60,DOC_CONFIRM,6-4,Step6-3预扩增纯化产物 + Qubit浓度；空间标签文库试剂。,2×PCR Master Mix、N5/N7冰上解冻振荡瞬离；DNA分选磁珠室温平衡；Qubit/片段仪可用。,2×PCR Master Mix、N5、N7、DNA分选磁珠、PCR、Qubit、片段分析仪。,80%乙醇当天现配；PCR、磁力架、Qubit、片段仪等打开备用。,空间标签文库构建工位就绪,试剂和设备可用。,确认index分配、磁珠平衡和准备后最大等待。,文档未给。,index/设备/试剂异常调度规则需确认。,,,待确认,否,,
36,8-2,空间标签文库扩增,PDF p60–61,DOC_CONFIRM,8-1,Step6-3预扩增纯化产物 + Qubit浓度 + N5/N7。,表格：Step6-3产物≤50 ng，体系以X μL加入并用水补至23 μL；正文：吸取5 μL，最大投入50 ng；浓度>5 ng/μL只取50 ng并补水到23 μL；<5 ng/μL直接取5 μL。,2×PCR Master Mix、N5、N7、Nuclease-Free Water、PCR仪。,体系：Master Mix25 μL+N5 1 μL+N7 1 μL+产物X μL≤50 ng+水(23-X) μL=50 μL。PCR热盖105℃：98℃3 min；14–16 cycles×(98℃20 s、54℃30 s、72℃20 s)；72℃5 min；4℃ Hold。投入≤10 ng→16；10–20 ng→15；20–50 ng→14。,50 μL空间标签文库扩增产物,根据投入量选择14–16 cycles。,确认正文“<5 ng/μL直接取5 μL”后是否仍补水至23 μL；10/20 ng区间边界；浓度=5 ng/μL分支；index映射。,PCR结束到纯化最大等待未给。,投入/cycle/index错误、PCR失败处理需确认。,,,待确认,否,,
37,8-3,空间标签文库纯化,PDF p61,OBSERVATION_REQUIRED,8-2,50 μL空间标签文库扩增产物。,DNA分选磁珠室温平衡；80%乙醇现配。,DNA分选磁珠、80%乙醇、Nuclease-Free Water、磁力架。,加60 μL磁珠（1.2×），吹打10次或振荡；室温5 min；磁吸去上清；200 μL 80%乙醇30 s洗×2；瞬离去残液；干3–5 min至暗哑不干裂；加31 μL水、室温5 min；磁吸后转移30 μL。,30 μL空间标签文库,STOPPING POINT：-20℃≤6个月。,确认最终回收下限、冻融次数、短时保存。,-20℃≤6个月。,低回收/残珠/保存异常处理需确认。,,,待确认,是,,
38,8-4,空间标签文库质控,PDF p61–62,DOC_CONFIRM,8-3,Step8-3的30 μL空间标签文库。,Qubit和片段分析仪可用。,Qubit、Agilent 4200 TapeStation或等效设备。,合格：浓度≥1 ng/μL，主峰220–330 bp，无大片段污染；风险：浓度≥1 ng/μL，主峰220–330 bp，但有大片段且大片段摩尔质量占比<20%；不合格：浓度<1 ng/μL，或220–330 bp无目的片段，或大片段摩尔质量占比>20%。,空间标签文库QC结果（PASS/RISK/FAIL）,按浓度、220–330 bp目标峰和大片段摩尔占比判定。,大片段摩尔占比=20%如何判定；风险样本是否可上机；污染是否可再次分选。,-20℃≤6个月；上机前操作时限需确认。,风险/不合格再分选、重PCR或终止规则需确认。,,,待确认,是,,
39,9-1,实验前准备,PDF p62–63,DOC_CONFIRM,6-4,Step6-3/6-4预扩增产物及Qubit浓度；ATAC文库试剂。,2×PCR Master Mix、M4-ATAC-Primers、A7、N5冰上解冻振荡瞬离；DNA分选磁珠室温平衡；Qubit/片段仪可用。,2×PCR Master Mix、M4-ATAC-Primers、N5、A7、DNA分选磁珠、PCR、Qubit、片段分析仪。,80%乙醇当天现配；PCR、磁架、Qubit、片段仪打开备用。,ATAC文库构建工位就绪,试剂和设备可用。,确认M4-ATAC-Primers/N5/A7版本及index映射、磁珠平衡、准备后可用时限。,文档未给。,试剂/设备/index异常调度规则需确认。,,,待确认,否,,
40,9-2,ATAC 片段富集,PDF p63–64,DOC_CONFIRM,9-1,文档表格写“Step6-4纯化产物≤25 ng X”，但Step6-4实际是“预扩增产物定量”，真正纯化产物来自Step6-3；需确认输入引用。,按投入量决定cycle；PCR可用。,2×PCR Master Mix、M4-ATAC-Primers、Nuclease-Free Water、PCR仪。,体系：Master Mix25 μL+M4-ATAC-Primers1 μL+产物X μL（文档写≤25 ng）+水(24-X) μL=50 μL。PCR热盖105℃：98℃3 min；正文表头写6–7 cycles，但投入量表又写≤10 ng→8 cycles、10–20→7、20–30→6，存在“6–7 vs 含8”和“≤25 ng vs 20–30 ng”两处内部不一致；循环阶段98℃10 s、60℃15 s、72℃1 min；72℃5 min；4℃ Hold。STOPPING：PCR产物4℃≤72 h或-20℃≤1周。,50 μL ATAC片段富集产物,该步存在输入Step引用、最大投入量和cycle范围三处文档不一致，不能直接固化。,必须确认真实输入是Step6-3纯化产物还是其他；最大投入25还是30 ng；≤10 ng时到底8 cycles是否正确；正式cycle映射表。,PCR产物4℃≤72 h或-20℃≤1周。,在参数未确认前不建议Agent自动执行；确认后应锁定版本化规则。,,,待确认,否,,
41,9-3,ATAC 富集产物分选与纯化,PDF p64,OBSERVATION_REQUIRED,9-2,50 μL Step9-2 ATAC富集产物。,DNA分选磁珠室温平衡；80%乙醇现配。,DNA分选磁珠、80%乙醇、Nuclease-Free Water、磁力架。,先加30 μL磁珠（0.6×），吹打10次，室温5 min，磁吸澄清后转移上清且避免带珠；向上清加35 μL磁珠，使总磁珠65 μL/原PCR50 μL=1.3×；吹打10次、室温5 min、磁吸去上清；200 μL 80%乙醇30 s洗×2；瞬离去残液；干3–5 min至暗哑不干裂；加41 μL水重悬、室温5 min、瞬离；磁吸后转移40 μL；检测浓度，峰型参照ATAC QC。STOPPING：4℃≤72 h或-20℃≤1个月。,40 μL ATAC富集分选纯化产物 + 浓度,完成0.6×保上清→总1.3×捕获双侧分选；输出40 μL。,确认第二次35 μL固定还是按实际上清体积计算；浓度检测是否每样本必做；磁珠携带容忍度。,4℃≤72 h或-20℃≤1个月。,误弃第一次上清、残磁珠、分选失败/低回收处理需确认。,,,待确认,是,,
42,9-4,ATAC 文库扩增,PDF p64–65,DOC_CONFIRM,9-3,Step9-3纯化产物X μL + N5/A7。,浓度>5 ng/μL按50 ng计算投入；<5 ng/μL直接取10 μL。,2×PCR Master Mix、N5、A7、Nuclease-Free Water、PCR仪。,体系：Master Mix25 μL+N5 1 μL+A7 1 μL+产物X μL+水(23-X) μL=50 μL。PCR热盖105℃：98℃3 min；6–9 cycles×(98℃20 s、54℃30 s、72℃1 min)；72℃5 min；4℃ Hold。投入5–10 ng→9–8；10–20→8–7；20–50→7–6。STOPPING：PCR产物4℃≤72 h或-20℃≤1周。,50 μL ATAC文库扩增产物,按投入量范围选择6–9 cycles。,确认浓度=5 ng/μL分支；10/20 ng边界；同一范围内两个cycle值如何精确选择。,4℃≤72 h或-20℃≤1周。,index/cycle错误、PCR异常的处理需确认。,,,待确认,否,,
43,9-5,ATAC 文库扩增产物纯化,PDF p65–66,OBSERVATION_REQUIRED,9-4,50 μL ATAC文库扩增产物。,DNA分选磁珠室温平衡；80%乙醇现配。,DNA分选磁珠、80%乙醇、Nuclease-Free Water、磁力架。,加65 μL磁珠（1.3×），吹打10次或振荡；室温5 min；磁吸去上清；200 μL 80%乙醇30 s洗×2；瞬离去残液；干3–5 min至暗哑不干裂；加31 μL水、室温5 min、瞬离；磁吸后转移30 μL。,30 μL ATAC文库,STOPPING POINT：-20℃≤6个月。,确认最终回收下限、冻融次数、短时保存。,-20℃≤6个月。,低回收/残珠/残乙醇/保存超时处理需确认。,,,待确认,是,,
44,9-6,ATAC 产物质检,PDF p66,DOC_CONFIRM,9-5,Step9-5的30 μL ATAC文库。,需文库浓度和片段分布检测。,Qubit、核酸片段分析仪。,ATAC文库关键参考：200–1000 bp范围展示良好片段分布，最好在600 bp以下；核小体相关峰强度和相对大小会因物种/组织/保存/活性/处理而变化，峰数量或大小不直接对应测序数据质量。文档只给“建议测序”的参考峰型图，未给明确数值合格阈值。,ATAC文库QC结果（浓度、片段分布、建议测序/不建议测序）,当前文档只支持定性峰型判断，无法直接转为完全机器化PASS阈值。,请给实验室实际ATAC文库最低浓度、200–1000 bp/≤600 bp占比或峰型数值阈值、风险/不合格定义，以及是否采用图像人工判读。,文库可-20℃≤6个月；上机前操作时限需确认。,峰型不佳/浓度不足时重分选、重扩增、终止规则需确认。,,,待确认,是,,
